743007,150000:6,CCS,6,Tesla Supercharger
743008,11000:2,Type 2,2,Megatel
743009,350000:4,CCS,4,IONITY
743010,11000:2,Type 2,2,Energie Steiermark
743011,350000:4,CCS,4,IONITY
743012,22000:2,Type 2,2,ELEN
743013,22000:1, 50000:1,CCS;Type 2,2,ELEN
743014,22000:1, 50000:2,CCS;Type 2,3,Petrol
743015,22000:2,Type 2,2,Petrol
743016,22000:2,Type 2,2,Petrol
743017,22000:2,Type 2,2,Petrol
743018,22000:2,Type 2,2,Gremo Na Elektriko
743019,22000:2,Type 2,2,Gremo Na Elektriko
743020,22000:2,Type 2,2,Gremo Na Elektriko
743021,21000:2,Type 2,2,Petrol
743022,14000:2,Type 2,2,Petrol
743023,14000:2,Type 2,2,Petrol
743024,14000:2,Type 2,2,Petrol
743025,43000:1, 250000:1, 350000:2, 50000:1,CCS;Type 2,5,Petrol
743026,50000:2, 22000:3,CCS;Type 2,5,Petrol
743027,14000:2,Type 2,2,Petrol
743028,50000:1, 43000:1,CCS;Type 2,2,Petrol
743029,43000:1, 50000:1,CCS;Type 2,2,Petrol
743030,50000:1, 43000:1,CCS;Type 2,2,Petrol
743031,50000:1, 43000:1,CCS;Type 2,2,Petrol
743032,43000:1, 50000:1,CCS;Type 2,2,Petrol
743033,22000:2,Type 2,2,Petrol
743034,22000:2,Type 2,2,Petrol
743035,43000:1, 50000:1,CCS;Type 2,2,Petrol
743036,50000:1, 43000:1,CCS;Type 2,2,Petrol
743037,50000:3, 43000:1, 350000:2, 22000:1,CCS;Type 2,7,Petrol
743038,50000:1, 43000:1,CCS;Type 2,2,Petrol
743039,50000:1, 43000:1,CCS;Type 2,2,Petrol
743040,50000:2, 43000:2,CCS;Type 2,4,Petrol
743041,50000:1, 43000:1,CCS;Type 2,2,Petrol
743042,50000:1, 43000:1,CCS;Type 2,2,Petrol
743043,22000:2,Type 2,2,PolnilnePostaje
743044,50000:1, 43000:1,CCS;Type 2,2,Petrol
743045,22000:6, 260000:2,CCS;Type 2,8,Petrol
743046,22000:2,Type 2,2,Petrol
743047,22000:2,Type 2,2,Petrol
743048,22000:2,Type 2,2,Gremo Na Elektriko
743049,22000:4,Type 2,4,Gremo Na Elektriko
743050,9700:2,Type 2,2,Porsche Slovenija
743051,22000:2,Type 2,2,Petrol
